#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ESC_VA4705AA_AS.fasta	NODE_106_length_2624_cov_57.422107	1986	2204	estIa	1-219/219	===============	0/0	100.00	100.00	ecoli_vf	gi:268507207	ecoli_vf~~~estIa~~~gi:268507207 heat stable enterotoxin I
ESC_VA4705AA_AS.fasta	NODE_108_length_2047_cov_15.269792	1	129	fimD	2517-2645/2754	.............==	0/0	4.68	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_VA4705AA_AS.fasta	NODE_10_length_121637_cov_40.338178	25232	25351	entD	14-132/771	===...../......	3/3	15.30	92.56	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_10_length_121637_cov_40.338178	41924	42058	entD	1-136/771	===...../......	2/3	17.38	88.32	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_10_length_121637_cov_40.338178	74495	75538	nada	1-1044/1044	===============	0/0	100.00	99.52	ecoli_vf	SPG000048	ecoli_vf~~~nada~~~SPG000048 Escherichia coli str. K-12 substr. MG1655 complete genome
ESC_VA4705AA_AS.fasta	NODE_10_length_121637_cov_40.338178	86732	86867	entD	3-137/771	===...../......	3/3	17.38	81.75	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_11_length_116424_cov_48.059864	33397	33500	entD	11-114/771	===...../......	2/2	13.36	89.52	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_11_length_116424_cov_48.059864	47218	49095	espL3	1-1878/1878	===============	0/0	100.00	99.36	ecoli_vf	SPG000024	ecoli_vf~~~espL3~~~SPG000024 gi|47118301:4652971-4654848 Escherichia coli O157:H7 str. Sakai DNA complete genome PTS system arbutin-like IIC component
ESC_VA4705AA_AS.fasta	NODE_125_length_1158_cov_29.282250	233	1033	stgD	274-1074/1074	...============	0/0	74.58	99.25	ecoli_vf	gi:46487742	ecoli_vf~~~stgD~~~gi:46487742 StgD
ESC_VA4705AA_AS.fasta	NODE_12_length_110867_cov_43.747715	11191	11316	entD	1-126/771	===...../......	2/2	16.21	88.19	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_12_length_110867_cov_43.747715	72452	72587	entD	1-136/771	===...../......	4/4	17.38	82.61	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_12_length_110867_cov_43.747715	109063	110742	ehaB	1270-2949/2949	......=========	0/0	56.97	98.99	ecoli_vf	gi:222155165	ecoli_vf~~~ehaB~~~gi:222155165 structural protein
ESC_VA4705AA_AS.fasta	NODE_13_length_104218_cov_48.164596	35481	35593	entD	2-114/771	===...../......	2/2	14.53	88.60	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_13_length_104218_cov_48.164596	74827	74962	entD	1-136/771	===...../......	2/2	17.51	83.21	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_VA4705AA_AS.fasta	NODE_147_length_630_cov_344.447316	395	630	fimD	2519-2754/2754	.............==	0/0	8.57	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_VA4705AA_AS.fasta	NODE_14_length_101508_cov_39.905594	5413	6246	csgG	1-834/834	===============	0/0	100.00	98.32	ecoli_vf	gi:15801154	ecoli_vf~~~csgG~~~gi:15801154 curli production assembly/transport component 2nd curli operon
ESC_VA4705AA_AS.fasta	NODE_14_length_101508_cov_39.905594	6273	6689	csgF	1-417/417	===============	0/0	100.00	99.76	ecoli_vf	gi:15801155	ecoli_vf~~~csgF~~~gi:15801155 curli assembly protein CsgF
ESC_VA4705AA_AS.fasta	NODE_14_length_101508_cov_39.905594	6714	7103	csgE	1-390/390	===============	0/0	100.00	99.23	ecoli_vf	gi:15801156	ecoli_vf~~~csgE~~~gi:15801156 curli assembly protein CsgE
ESC_VA4705AA_AS.fasta	NODE_14_length_101508_cov_39.905594	7108	7758	csgD	1-651/651	===============	0/0	100.00	99.23	ecoli_vf	VFG045791	ecoli_vf~~~csgD~~~VFG045791 putative 2-component transcriptional regulator for 2nd curli operon
ESC_VA4705AA_AS.fasta	NODE_14_length_101508_cov_39.905594	8485	8967	csgB	1-483/483	===============	0/0	100.00	99.59	ecoli_vf	VFG045792	ecoli_vf~~~csgB~~~VFG045792 minor curlin subunit CsgB
ESC_VA4705AA_AS.fasta	NODE_14_length_101508_cov_39.905594	9008	9463	csgA	1-459/459	========/======	1/3	99.35	93.03	ecoli_vf	gi:15801159	ecoli_vf~~~csgA~~~gi:15801159 cryptic curlin major subunit
