locus_tag	ftype	length_bp	gene	EC_number	COG	product
ESC_VA4705AA_AS_00001	rRNA	2790				23S ribosomal RNA
ESC_VA4705AA_AS_00001	gene	2790				
ESC_VA4705AA_AS_00002	tRNA	76				tRNA-Glu(ttc)
ESC_VA4705AA_AS_00002	gene	76				
ESC_VA4705AA_AS_00003	rRNA	1538				16S ribosomal RNA
ESC_VA4705AA_AS_00003	gene	1538				
ESC_VA4705AA_AS_00004	CDS	111				hypothetical protein
ESC_VA4705AA_AS_00004	gene	111				
ESC_VA4705AA_AS_00005	CDS	3009				Tn3 family transposase ISEc63
ESC_VA4705AA_AS_00005	gene	3009				
ESC_VA4705AA_AS_00006	CDS	300	tnpR_1			Transposon Tn3 resolvase
ESC_VA4705AA_AS_00006	gene	300	tnpR_1			
ESC_VA4705AA_AS_00007	CDS	546				hypothetical protein
ESC_VA4705AA_AS_00007	gene	546				
ESC_VA4705AA_AS_00008	CDS	450				hypothetical protein
ESC_VA4705AA_AS_00008	gene	450				
ESC_VA4705AA_AS_00009	CDS	552				hypothetical protein
ESC_VA4705AA_AS_00009	gene	552				
ESC_VA4705AA_AS_00010	CDS	267				hypothetical protein
ESC_VA4705AA_AS_00010	gene	267				
ESC_VA4705AA_AS_00011	CDS	315				hypothetical protein
ESC_VA4705AA_AS_00011	gene	315				
ESC_VA4705AA_AS_00012	CDS	183				hypothetical protein
ESC_VA4705AA_AS_00012	gene	183				
ESC_VA4705AA_AS_00013	CDS	540				hypothetical protein
ESC_VA4705AA_AS_00013	gene	540				
ESC_VA4705AA_AS_00014	CDS	525				hypothetical protein
ESC_VA4705AA_AS_00014	gene	525				
ESC_VA4705AA_AS_00015	CDS	288				hypothetical protein
ESC_VA4705AA_AS_00015	gene	288				
ESC_VA4705AA_AS_00016	CDS	291				hypothetical protein
ESC_VA4705AA_AS_00016	gene	291				
ESC_VA4705AA_AS_00017	CDS	813				IS3 family transposase ISEhe3
ESC_VA4705AA_AS_00017	gene	813				
ESC_VA4705AA_AS_00018	CDS	321				hypothetical protein
ESC_VA4705AA_AS_00018	gene	321				
ESC_VA4705AA_AS_00019	CDS	279	higA1		COG1396	Antitoxin HigA1
ESC_VA4705AA_AS_00019	gene	279	higA1			
ESC_VA4705AA_AS_00020	CDS	471				hypothetical protein
ESC_VA4705AA_AS_00020	gene	471				
ESC_VA4705AA_AS_00021	CDS	1026	gspA		COG1442	General stress protein A
ESC_VA4705AA_AS_00021	gene	1026	gspA			
ESC_VA4705AA_AS_00022	CDS	693	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
ESC_VA4705AA_AS_00022	gene	693	rfaY			
ESC_VA4705AA_AS_00023	CDS	813				hypothetical protein
ESC_VA4705AA_AS_00023	gene	813				
