locus_tag	ftype	length_bp	gene	EC_number	COG	product
ESC_CB1462AA_AS_00001	CDS	1284				hypothetical protein
ESC_CB1462AA_AS_00001	gene	1284				
ESC_CB1462AA_AS_00002	CDS	1113			COG3385	IS4 family transposase IS421
ESC_CB1462AA_AS_00002	gene	1113				
ESC_CB1462AA_AS_00003	CDS	141				hypothetical protein
ESC_CB1462AA_AS_00003	gene	141				
ESC_CB1462AA_AS_00004	CDS	906				IS3 family transposase IS2
ESC_CB1462AA_AS_00004	gene	906				
ESC_CB1462AA_AS_00005	CDS	366				hypothetical protein
ESC_CB1462AA_AS_00005	gene	366				
ESC_CB1462AA_AS_00006	CDS	981				IS110 family transposase IS621
ESC_CB1462AA_AS_00006	gene	981				
ESC_CB1462AA_AS_00007	CDS	312				hypothetical protein
ESC_CB1462AA_AS_00007	gene	312				
ESC_CB1462AA_AS_00008	CDS	678				IS3 family transposase ISCfr6
ESC_CB1462AA_AS_00008	gene	678				
ESC_CB1462AA_AS_00009	CDS	597				hypothetical protein
ESC_CB1462AA_AS_00009	gene	597				
ESC_CB1462AA_AS_00010	CDS	816	cfaD			CFA/I fimbrial subunit D
ESC_CB1462AA_AS_00010	gene	816	cfaD			
ESC_CB1462AA_AS_00011	CDS	216				hypothetical protein
ESC_CB1462AA_AS_00011	gene	216				
ESC_CB1462AA_AS_00012	CDS	282				hypothetical protein
ESC_CB1462AA_AS_00012	gene	282				
ESC_CB1462AA_AS_00013	CDS	327				hypothetical protein
ESC_CB1462AA_AS_00013	gene	327				
ESC_CB1462AA_AS_00014	CDS	519				hypothetical protein
ESC_CB1462AA_AS_00014	gene	519				
ESC_CB1462AA_AS_00015	CDS	1428				hypothetical protein
ESC_CB1462AA_AS_00015	gene	1428				
ESC_CB1462AA_AS_00016	CDS	624				hypothetical protein
ESC_CB1462AA_AS_00016	gene	624				
ESC_CB1462AA_AS_00017	CDS	1158	ampH	3.4.-.-	COG1680	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH
ESC_CB1462AA_AS_00017	gene	1158	ampH			
ESC_CB1462AA_AS_00018	CDS	1221	sbmA		COG1133	Peptide antibiotic transporter SbmA
ESC_CB1462AA_AS_00018	gene	1221	sbmA			
ESC_CB1462AA_AS_00019	CDS	1095				hypothetical protein
ESC_CB1462AA_AS_00019	gene	1095				
ESC_CB1462AA_AS_00020	CDS	309	yaiY			Inner membrane protein YaiY
ESC_CB1462AA_AS_00020	gene	309	yaiY			
ESC_CB1462AA_AS_00021	CDS	213				hypothetical protein
ESC_CB1462AA_AS_00021	gene	213				
ESC_CB1462AA_AS_00022	CDS	1095	ddlA	6.3.2.4	COG1181	D-alanine--D-alanine ligase A
ESC_CB1462AA_AS_00022	gene	1095	ddlA			
ESC_CB1462AA_AS_00023	CDS	261	iraP			Anti-adapter protein IraP
ESC_CB1462AA_AS_00023	gene	261	iraP			
ESC_CB1462AA_AS_00024	CDS	1416	phoA	3.1.3.1	COG1785	Alkaline phosphatase
ESC_CB1462AA_AS_00024	gene	1416	phoA			
ESC_CB1462AA_AS_00025	CDS	321	psiF			Phosphate starvation-inducible protein PsiF
ESC_CB1462AA_AS_00025	gene	321	psiF			
ESC_CB1462AA_AS_00026	CDS	1116	dgcC	2.7.7.65		putative diguanylate cyclase DgcC
ESC_CB1462AA_AS_00026	gene	1116	dgcC			
ESC_CB1462AA_AS_00027	CDS	810	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
ESC_CB1462AA_AS_00027	gene	810	proC			
ESC_CB1462AA_AS_00028	CDS	459				hypothetical protein
ESC_CB1462AA_AS_00028	gene	459				
ESC_CB1462AA_AS_00029	CDS	525	aroL	2.7.1.71	COG0703	Shikimate kinase 2
ESC_CB1462AA_AS_00029	gene	525	aroL			
ESC_CB1462AA_AS_00030	CDS	192	yaiA			putative protein YaiA
ESC_CB1462AA_AS_00030	gene	192	yaiA			
ESC_CB1462AA_AS_00031	CDS	678				hypothetical protein
ESC_CB1462AA_AS_00031	gene	678				
ESC_CB1462AA_AS_00032	CDS	285	ppnP	2.4.2.1	COG3123	Pyrimidine/purine nucleoside phosphorylase
ESC_CB1462AA_AS_00032	gene	285	ppnP			
ESC_CB1462AA_AS_00033	CDS	363				hypothetical protein
ESC_CB1462AA_AS_00033	gene	363				
ESC_CB1462AA_AS_00034	CDS	978	rdgC		COG2974	Recombination-associated protein RdgC
ESC_CB1462AA_AS_00034	gene	978	rdgC			
ESC_CB1462AA_AS_00035	CDS	909	mak	2.7.1.4	COG1940	Fructokinase
ESC_CB1462AA_AS_00035	gene	909	mak			
ESC_CB1462AA_AS_00036	CDS	1269	araJ		COG2814	Putative transporter AraJ
ESC_CB1462AA_AS_00036	gene	1269	araJ			
ESC_CB1462AA_AS_00037	CDS	3144	sbcC		COG0419	Nuclease SbcCD subunit C
ESC_CB1462AA_AS_00037	gene	3144	sbcC			
ESC_CB1462AA_AS_00038	CDS	1203	sbcD		COG0420	Nuclease SbcCD subunit D
ESC_CB1462AA_AS_00038	gene	1203	sbcD			
